ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,IS_PENSIONER,EMPLOYMENT_YEARS,INCOME_PER_FAMILY_MEMBER,INCOME_BAND,TARGET
5000024,F,N,Y,0,54024.17,State servant,Higher education,Single / not married,House / apartment,0,1,0,Sales staff,1,48.9,0,4.8,54024.17,Low,0
5000025,F,Y,Y,4,66478.01,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,6,52.0,0,5.1,11079.67,Low,1
5000026,M,Y,Y,1,71876.1,State servant,Incomplete higher,Married,House / apartment,1,0,0,Accountants,3,41.2,0,2.4,23958.7,Low,1
5000027,F,Y,Y,0,59620.39,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,0,0,Medicine staff,2,48.4,1,0.0,29810.2,Low,1
5000028,F,Y,N,0,126567.85,Student,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Managers,2,38.1,0,0.5,63283.92,Medium,0
5000029,M,Y,Y,0,180011.13,State servant,Secondary / secondary special,Married,Municipal apartment,1,0,0,Sales staff,2,65.1,0,15.0,90005.56,Medium,1
5000030,F,N,Y,0,31185.78,Pensioner,Higher education,Married,House / apartment,0,0,0,Security staff,2,35.4,1,0.0,15592.89,Low,0
5000031,M,Y,N,0,45835.27,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,0,0,0,Laborers,2,43.9,0,3.9,22917.64,Low,0
5000032,M,N,Y,0,136364.88,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,52.1,1,0.0,68182.44,Medium,1
5000033,F,Y,Y,0,98731.31,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,51.6,0,1.3,49365.66,Low,0
5000034,F,Y,Y,1,90976.62,State servant,Higher education,Married,House / apartment,0,0,1,Accountants,3,23.5,0,27.8,30325.54,Low,1
5000035,F,N,Y,1,103597.92,State servant,Higher education,Separated,House / apartment,0,0,0,Laborers,3,40.4,0,0.3,34532.64,Medium,0
5000036,M,N,N,4,76731.27,Working,Higher education,Single / not married,House / apartment,0,0,1,Accountants,5,44.1,0,0.4,15346.25,Low,0
5000037,M,Y,N,0,93022.08,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,Cleaning staff,1,31.4,1,0.0,93022.08,Low,1
5000038,F,N,Y,4,62148.47,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,Sales staff,6,35.4,0,9.1,10358.08,Low,1
5000039,M,Y,Y,0,65250.84,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,1,High skill tech staff,1,57.5,0,11.3,65250.84,Low,0
5000040,M,Y,Y,0,69729.72,Pensioner,Secondary / secondary special,Civil marriage,Rented apartment,0,0,0,Sales staff,2,31.7,1,0.0,34864.86,Low,1
5000041,F,N,N,3,59654.4,Pensioner,Secondary / secondary special,Single / not married,With parents,1,1,0,Drivers,4,26.1,1,0.0,14913.6,Low,1
5000042,M,N,N,0,92448.64,Pensioner,Incomplete higher,Married,House / apartment,1,1,1,Drivers,2,65.1,1,0.0,46224.32,Low,1
5000043,F,Y,Y,0,84864.78,Pensioner,Incomplete higher,Married,House / apartment,0,0,0,Laborers,2,48.4,1,0.0,42432.39,Low,0
5000044,M,Y,Y,0,28765.07,Working,Lower secondary,Single / not married,House / apartment,0,0,0,Cleaning staff,1,33.9,0,1.8,28765.07,Low,0
5000045,F,N,N,0,66062.76,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,57.6,0,6.3,33031.38,Low,1
5000046,M,Y,Y,4,73891.69,Working,Secondary / secondary special,Married,Rented apartment,0,0,1,Laborers,6,40.4,0,4.3,12315.28,Low,1
5000047,F,Y,N,0,157168.23,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Managers,1,44.2,0,11.9,157168.23,Medium,1
5000048,F,N,N,4,63363.25,State servant,Higher education,Civil marriage,With parents,0,1,0,Private service staff,6,34.3,0,2.2,10560.54,Low,0
5000049,M,N,Y,0,76743.47,Pensioner,Higher education,Single / not married,House / apartment,0,1,0,Drivers,1,70.0,1,0.0,76743.47,Low,1
5000050,F,Y,N,0,70376.73,Working,Higher education,Civil marriage,House / apartment,0,0,0,Cooking staff,2,58.9,0,2.2,35188.36,Low,0
5000051,F,N,Y,0,141646.46,Commercial associate,Academic degree,Single / not married,House / apartment,0,1,0,Accountants,1,32.3,0,3.0,141646.46,Medium,0
5000052,F,N,N,0,40238.57,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,2,40.1,0,3.2,20119.28,Low,0
5000053,F,N,Y,0,49391.46,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,2,42.8,0,2.0,24695.73,Low,0
5000054,F,N,Y,1,47765.04,Working,Secondary / secondary special,Married,With parents,0,0,0,Private service staff,3,29.8,0,4.8,15921.68,Low,1
5000055,F,N,Y,0,73644.58,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,34.6,0,19.3,36822.29,Low,1
5000056,M,Y,N,2,34651.38,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Core staff,4,39.0,0,12.8,8662.84,Low,0
5000057,M,Y,Y,2,152143.16,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,4,46.9,0,5.8,38035.79,Medium,1
5000058,M,N,Y,0,90017.63,Working,Secondary / secondary special,Married,House / apartment,1,0,1,Sales staff,2,28.9,0,12.9,45008.82,Low,1
5000059,M,N,Y,2,97997.41,Commercial associate,Secondary / secondary special,Married,With parents,1,0,1,Sales staff,4,29.7,0,3.3,24499.35,Low,0
5000060,M,N,Y,2,209222.07,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,4,32.4,0,7.2,52305.52,High,0
5000061,M,N,N,1,61574.06,Pensioner,Incomplete higher,Married,House / apartment,1,0,0,Medicine staff,3,51.9,1,0.0,20524.69,Low,1
5000062,F,N,Y,0,112194.52,Commercial associate,Secondary / secondary special,Single / not married,With parents,0,0,0,Cooking staff,1,29.0,0,9.0,112194.52,Medium,0
5000063,M,N,N,0,97845.19,Working,Incomplete higher,Married,House / apartment,0,0,0,Laborers,2,51.8,0,0.4,48922.6,Low,0
5000064,M,N,N,2,157897.56,Commercial associate,Academic degree,Married,House / apartment,0,0,0,Laborers,4,20.0,0,1.3,39474.39,Medium,0
5000065,F,N,N,0,103323.66,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2,40.1,0,3.9,51661.83,Medium,0
5000066,M,Y,N,0,56693.43,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,20.0,1,0.0,28346.72,Low,1
5000067,F,N,Y,0,90400.21,Working,Secondary / secondary special,Separated,Rented apartment,0,1,0,Sales staff,2,39.7,0,0.8,45200.1,Low,0
5000068,M,N,Y,0,52923.34,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Security staff,2,47.5,0,0.5,26461.67,Low,0
5000069,F,N,N,0,57898.28,Working,Incomplete higher,Separated,House / apartment,0,1,0,Cleaning staff,2,39.4,0,3.4,28949.14,Low,0
5000070,F,N,N,0,72634.43,Working,Higher education,Married,With parents,0,0,0,Accountants,2,44.9,0,0.9,36317.21,Low,0
5000071,M,Y,Y,0,66643.49,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,35.8,0,8.3,33321.75,Low,0
5000072,M,N,N,0,46772.64,Working,Lower secondary,Civil marriage,House / apartment,0,0,0,High skill tech staff,2,47.1,0,1.7,23386.32,Low,1
5000073,F,N,N,0,27000.0,Pensioner,Higher education,Married,Rented apartment,0,0,0,High skill tech staff,2,47.3,1,0.0,13500.0,Low,1
5000074,F,N,N,0,84814.71,Student,Incomplete higher,Civil marriage,Rented apartment,0,0,0,Core staff,2,34.8,0,13.4,42407.36,Low,0
5000075,F,N,N,2,87887.73,Working,Higher education,Separated,House / apartment,0,1,1,Laborers,4,51.8,0,2.5,21971.93,Low,1
5000076,F,Y,N,0,87715.51,Working,Secondary / secondary special,Married,House / apartment,0,1,0,High skill tech staff,2,43.1,0,2.8,43857.76,Low,0
5000077,M,N,N,0,189657.86,Working,Secondary / secondary special,Widow,House / apartment,0,1,0,Managers,2,42.2,0,13.2,94828.93,Medium,1
5000078,M,N,Y,0,33925.49,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2,45.9,0,9.1,16962.74,Low,1
5000079,M,N,N,2,158987.77,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,4,47.3,0,11.8,39746.94,Medium,1
5000080,F,N,Y,0,254233.3,Working,Secondary / secondary special,Married,With parents,0,1,0,Core staff,2,43.2,0,4.3,127116.65,High,1
5000081,F,N,Y,0,176643.78,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,49.5,1,0.0,88321.89,Medium,0
5000082,M,Y,N,1,61410.01,Working,Lower secondary,Married,With parents,0,0,0,Security staff,3,58.1,0,6.8,20470.0,Low,1
5000083,M,N,N,0,91721.16,Pensioner,Incomplete higher,Married,House / apartment,0,0,0,Sales staff,2,38.4,1,0.0,45860.58,Low,0
5000084,M,Y,N,0,49731.33,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Drivers,1,30.8,0,5.1,49731.33,Low,1
5000085,M,N,Y,0,52155.92,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,High skill tech staff,1,55.6,0,6.5,52155.92,Low,1
5000086,F,Y,Y,0,173105.33,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Cooking staff,2,37.0,0,4.0,86552.66,Medium,1
5000087,F,Y,Y,1,103729.27,Working,Incomplete higher,Married,With parents,0,0,0,High skill tech staff,3,52.2,0,5.8,34576.42,Medium,0
5000088,F,N,Y,0,106935.36,Pensioner,Incomplete higher,Married,Municipal apartment,0,1,0,Sales staff,2,58.9,1,0.0,53467.68,Medium,1
5000089,F,N,N,1,41710.19,Pensioner,Incomplete higher,Married,House / apartment,1,0,1,High skill tech staff,3,52.2,1,0.0,13903.4,Low,1
5000090,M,N,Y,0,35008.7,Working,Secondary / secondary special,Widow,House / apartment,0,0,1,Accountants,2,41.2,0,0.2,17504.35,Low,0
5000091,F,N,Y,0,123917.4,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2,35.4,0,12.8,61958.7,Medium,1
5000092,F,N,Y,0,90294.93,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,High skill tech staff,2,57.8,0,5.7,45147.46,Low,1
5000093,F,N,N,0,62994.56,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Cooking staff,2,51.0,0,5.3,31497.28,Low,0
5000094,F,N,Y,0,174241.95,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,Drivers,2,36.6,0,5.3,87120.98,Medium,0
5000095,F,N,N,1,98385.54,Commercial associate,Higher education,Married,House / apartment,0,0,1,Private service staff,3,63.0,0,7.1,32795.18,Low,1
5000096,F,N,Y,3,47808.55,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,1,Cleaning staff,4,25.0,0,4.8,11952.14,Low,0
5000097,M,N,Y,0,27749.16,Working,Secondary / secondary special,Separated,House / apartment,0,0,1,Accountants,2,36.4,0,9.5,13874.58,Low,0
5000098,M,N,N,0,98629.03,Working,Secondary / secondary special,Civil marriage,Office apartment,1,0,0,Core staff,2,50.7,0,3.3,49314.52,Low,0
5000099,M,Y,Y,0,57832.12,Pensioner,Incomplete higher,Married,Co-op apartment,0,0,0,Private service staff,2,36.4,1,0.0,28916.06,Low,1
5000100,M,N,Y,2,68226.5,Working,Higher education,Married,House / apartment,0,0,0,Cleaning staff,4,35.3,0,6.8,17056.62,Low,0
5000101,F,Y,N,3,65456.46,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,5,49.7,0,8.6,13091.29,Low,1
5000102,M,Y,N,2,149556.47,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Medicine staff,4,31.4,0,3.6,37389.12,Medium,1
5000103,F,Y,N,0,111457.56,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,45.6,0,1.0,55728.78,Medium,0
5000104,F,N,N,3,69694.07,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,1,High skill tech staff,4,30.7,0,2.7,17423.52,Low,0
5000105,M,Y,Y,0,68762.1,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Sales staff,2,38.7,0,4.6,34381.05,Low,1
5000106,M,N,Y,0,84460.59,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Medicine staff,2,43.9,0,17.0,42230.3,Low,1
5000107,F,N,Y,0,141354.51,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2,47.6,0,9.4,70677.26,Medium,0
5000108,M,N,N,2,76227.49,Commercial associate,Higher education,Married,Rented apartment,0,1,1,Private service staff,4,28.7,0,16.4,19056.87,Low,0
5000109,M,N,N,2,54868.58,Working,Secondary / secondary special,Married,With parents,1,0,0,Security staff,4,31.9,0,12.7,13717.14,Low,0
5000110,M,N,Y,2,40037.12,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,4,42.8,1,0.0,10009.28,Low,0
5000111,M,N,Y,2,70065.11,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Security staff,4,38.3,0,2.9,17516.28,Low,1
5000112,F,N,Y,0,40169.1,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,0,0,Private service staff,1,59.5,0,6.4,40169.1,Low,0
5000113,F,N,N,2,86744.12,Working,Higher education,Married,House / apartment,0,0,0,Drivers,4,53.1,0,2.6,21686.03,Low,1
5000114,F,N,Y,0,91721.13,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,2,45.6,0,6.8,45860.56,Low,0
5000115,F,N,N,0,132637.92,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Cooking staff,1,37.3,0,3.3,132637.92,Medium,0
5000116,F,Y,N,0,65859.36,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Core staff,1,47.8,0,1.2,65859.36,Low,0
5000117,M,N,N,3,122537.07,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,5,52.4,0,8.3,24507.41,Medium,1
5000118,F,Y,Y,3,163697.79,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,5,45.0,0,0.8,32739.56,Medium,1
5000119,F,Y,N,0,75876.45,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,41.4,1,0.0,37938.22,Low,1
5000120,F,N,N,0,223595.55,Working,Secondary / secondary special,Married,House / apartment,0,1,0,High skill tech staff,2,54.1,0,1.6,111797.78,High,1
5000121,F,N,Y,0,150010.91,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,37.3,0,4.4,75005.46,Medium,0
5000122,M,N,Y,0,57543.65,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,37.2,0,6.2,28771.82,Low,0
5000123,M,N,N,0,318765.14,Working,Lower secondary,Widow,House / apartment,0,0,0,Drivers,2,47.7,0,0.8,159382.57,High,1
5000124,M,N,N,0,70696.21,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,2,44.6,0,2.5,35348.11,Low,1
5000125,M,Y,Y,0,147234.96,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,Core staff,2,47.4,0,6.0,73617.48,Medium,0
5000126,F,N,Y,1,100133.36,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,3,28.7,0,3.0,33377.79,Medium,0
5000127,F,Y,Y,0,85109.88,Working,Lower secondary,Civil marriage,House / apartment,1,1,1,Core staff,2,38.1,0,0.9,42554.94,Low,1
5000128,M,Y,N,1,140704.72,Working,Lower secondary,Single / not married,House / apartment,1,1,1,Drivers,2,46.5,0,4.7,70352.36,Medium,0
5000129,F,N,N,0,78859.58,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,Managers,2,47.9,0,6.3,39429.79,Low,0
5000130,M,Y,Y,2,70388.85,Student,Higher education,Separated,House / apartment,0,0,0,Cleaning staff,4,54.8,0,0.3,17597.21,Low,0
5000131,M,Y,Y,1,71460.38,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cooking staff,2,46.2,0,4.2,35730.19,Low,1
5000132,M,N,N,1,41277.91,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3,49.2,0,3.5,13759.3,Low,0
5000133,M,Y,N,0,124656.75,Working,Higher education,Married,Co-op apartment,1,0,1,Cleaning staff,2,27.6,0,0.0,62328.38,Medium,0
5000134,F,Y,N,0,52581.92,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Core staff,2,32.3,0,3.6,26290.96,Low,0
5000135,M,Y,N,4,81232.29,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,6,51.6,0,5.0,13538.71,Low,0
5000136,F,Y,Y,0,73870.91,Pensioner,Higher education,Married,House / apartment,0,1,0,Cleaning staff,2,49.4,1,0.0,36935.46,Low,1
5000137,F,Y,N,0,99082.19,Commercial associate,Higher education,Married,House / apartment,1,1,0,Medicine staff,2,25.5,0,0.2,49541.1,Low,0
5000138,M,N,Y,2,72653.37,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,4,34.7,1,0.0,18163.34,Low,1
5000139,F,Y,N,0,63947.38,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,2,55.8,0,20.3,31973.69,Low,1
5000140,F,N,N,0,89979.05,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Medicine staff,2,49.4,0,3.1,44989.52,Low,0
5000141,M,Y,N,0,86204.04,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Sales staff,2,39.4,0,1.6,43102.02,Low,1
5000142,F,N,N,0,43007.38,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,46.6,0,4.7,21503.69,Low,0
5000143,M,N,Y,0,69218.4,Pensioner,Higher education,Civil marriage,With parents,0,0,0,Drivers,2,43.0,1,0.0,34609.2,Low,0
5000144,M,N,Y,0,137996.33,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Sales staff,1,36.3,0,3.5,137996.33,Medium,0
5000145,M,N,Y,0,249855.16,Working,Secondary / secondary special,Civil marriage,With parents,0,0,1,Drivers,2,35.1,0,11.9,124927.58,High,1
5000146,F,N,N,2,31139.4,Commercial associate,Higher education,Married,House / apartment,0,0,1,Medicine staff,4,60.6,0,14.1,7784.85,Low,1
5000147,F,Y,N,3,110621.02,State servant,Incomplete higher,Single / not married,House / apartment,0,1,0,Cooking staff,4,35.6,0,6.0,27655.26,Medium,0
5000148,M,N,N,1,77102.54,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,3,44.3,0,4.9,25700.85,Low,0
5000149,M,N,N,0,54394.1,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,Laborers,2,22.2,0,0.1,27197.05,Low,0
5000150,F,Y,Y,2,59042.18,Working,Higher education,Separated,House / apartment,0,0,1,Private service staff,4,69.1,0,5.4,14760.54,Low,1
5000151,M,Y,Y,0,45712.49,State servant,Higher education,Married,Rented apartment,0,1,0,Private service staff,2,64.0,0,4.4,22856.24,Low,0
5000152,M,Y,Y,0,37007.43,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Cleaning staff,1,32.8,0,1.3,37007.43,Low,0
5000153,F,N,N,0,88667.07,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,Cleaning staff,2,54.3,0,1.2,44333.54,Low,0
5000154,F,Y,N,2,178372.99,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,4,55.3,0,19.1,44593.25,Medium,0
5000155,M,Y,Y,0,87232.26,Working,Secondary / secondary special,Widow,With parents,0,0,0,Sales staff,2,36.3,0,9.6,43616.13,Low,1
5000156,F,N,N,3,79680.95,Commercial associate,Higher education,Married,House / apartment,1,0,0,Core staff,5,49.8,0,1.5,15936.19,Low,1
5000157,F,N,Y,2,53541.54,Working,Lower secondary,Single / not married,House / apartment,0,0,0,Drivers,3,28.2,0,6.9,17847.18,Low,1
5000158,M,Y,Y,0,45928.2,Working,Incomplete higher,Separated,House / apartment,1,0,0,Security staff,2,43.1,0,4.1,22964.1,Low,1
5000159,F,Y,Y,1,73932.04,Pensioner,Secondary / secondary special,Married,With parents,0,1,0,High skill tech staff,3,48.4,1,0.0,24644.01,Low,1
5000160,M,N,Y,0,43711.03,Working,Secondary / secondary special,Married,Office apartment,1,0,0,Managers,2,45.0,0,1.2,21855.52,Low,0
5000161,F,N,N,0,128225.74,State servant,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,44.3,0,0.6,128225.74,Medium,0
5000162,F,N,Y,0,54787.98,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,37.4,0,5.9,27393.99,Low,0
5000163,F,N,Y,2,47967.24,Working,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Sales staff,3,44.7,0,0.2,15989.08,Low,1
5000164,M,Y,N,2,225333.93,State servant,Incomplete higher,Married,With parents,0,1,1,Managers,4,49.2,0,13.2,56333.48,High,0
5000165,F,Y,N,1,140004.55,Working,Incomplete higher,Single / not married,Municipal apartment,1,1,0,Laborers,2,27.2,0,17.3,70002.27,Medium,0
5000166,M,N,N,0,40234.39,Working,Secondary / secondary special,Married,With parents,0,0,0,Cleaning staff,2,42.1,0,3.8,20117.2,Low,0
5000167,M,N,Y,0,47046.26,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Cooking staff,2,51.9,0,5.3,23523.13,Low,1
5000168,M,N,Y,0,66340.31,Pensioner,Higher education,Married,House / apartment,0,0,0,Managers,2,68.6,1,0.0,33170.16,Low,1
5000169,F,N,Y,4,67477.65,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Private service staff,6,68.1,0,2.6,11246.28,Low,1
5000170,F,N,Y,1,58139.82,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,Drivers,3,36.3,0,0.6,19379.94,Low,0
5000171,M,Y,N,1,142681.41,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,3,47.2,0,2.8,47560.47,Medium,0
5000172,F,Y,Y,2,81247.61,Working,Higher education,Single / not married,House / apartment,0,0,0,Cleaning staff,3,46.3,0,3.5,27082.54,Low,0
5000173,M,Y,Y,1,71792.87,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,3,20.0,1,0.0,23930.96,Low,0
5000174,F,Y,N,1,53958.27,Pensioner,Secondary / secondary special,Married,Rented apartment,1,0,0,Cleaning staff,3,34.1,1,0.0,17986.09,Low,1
5000175,M,Y,N,0,43225.77,Working,Secondary / secondary special,Single / not married,With parents,0,0,0,Private service staff,1,26.4,0,23.0,43225.77,Low,0
5000176,F,N,Y,0,53515.97,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2,39.1,0,5.9,26757.98,Low,0
5000177,M,Y,Y,2,47197.39,Working,Secondary / secondary special,Married,Rented apartment,1,0,1,Managers,4,43.0,0,3.0,11799.35,Low,1
5000178,F,Y,Y,0,38961.48,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Core staff,2,38.3,0,3.3,19480.74,Low,1
