ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000050,F,Y,N,0,70376.73,Working,Higher education,Civil marriage,House / apartment,-21510,-792,1,0,0,0,Cooking staff,2
5000051,F,N,Y,0,141646.46,Commercial associate,Academic degree,Single / not married,House / apartment,-11783,-1111,1,0,1,0,Accountants,1
5000052,F,N,N,0,40238.57,Working,Secondary / secondary special,Separated,House / apartment,-14635,-1180,1,0,0,0,Sales staff,2
5000053,F,N,Y,0,49391.46,Working,Secondary / secondary special,Married,House / apartment,-15644,-739,1,0,0,0,Accountants,2
5000054,F,N,Y,1,47765.04,Working,Secondary / secondary special,Married,With parents,-10877,-1739,1,0,0,0,Private service staff,3
5000055,F,N,Y,0,73644.58,Working,Secondary / secondary special,Married,House / apartment,-12644,-7035,1,0,0,0,Laborers,2
5000056,M,Y,N,2,34651.38,Commercial associate,Secondary / secondary special,Married,With parents,-14239,-4676,1,0,0,0,Core staff,4
5000057,M,Y,Y,2,152143.16,Working,Higher education,Married,House / apartment,-17131,-2101,1,0,1,0,High skill tech staff,4
5000058,M,N,Y,0,90017.63,Working,Secondary / secondary special,Married,House / apartment,-10564,-4727,1,1,0,1,Sales staff,2
5000059,M,N,Y,2,97997.41,Commercial associate,Secondary / secondary special,Married,With parents,-10838,-1208,1,1,0,1,Sales staff,4
5000060,M,N,Y,2,209222.07,Commercial associate,Secondary / secondary special,Married,House / apartment,-11829,-2623,1,0,0,0,Security staff,4
5000061,M,N,N,1,61574.06,Pensioner,Incomplete higher,Married,House / apartment,-18952,365243,1,1,0,0,Medicine staff,3
5000062,F,N,Y,0,112194.52,Commercial associate,Secondary / secondary special,Single / not married,With parents,-10575,-3286,1,0,0,0,Cooking staff,1
5000063,M,N,N,0,97845.19,Working,Incomplete higher,Married,House / apartment,-18937,-131,1,0,0,0,Laborers,2
5000064,M,N,N,2,157897.56,Commercial associate,Academic degree,Married,House / apartment,-7305,-479,1,0,0,0,Laborers,4
5000065,F,N,N,0,103323.66,State servant,Secondary / secondary special,Married,House / apartment,-14640,-1441,1,1,0,0,Core staff,2
5000066,M,Y,N,0,56693.43,Pensioner,Secondary / secondary special,Married,House / apartment,-7305,365243,1,0,0,0,Private service staff,2
5000067,F,N,Y,0,90400.21,Working,Secondary / secondary special,Separated,Rented apartment,-14490,-305,1,0,1,0,Sales staff,2
5000068,M,N,Y,0,52923.34,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17337,-167,1,0,0,0,Security staff,2
5000069,F,N,N,0,57898.28,Working,Incomplete higher,Separated,House / apartment,-14397,-1225,1,0,1,0,Cleaning staff,2
5000070,F,N,N,0,72634.43,Working,Higher education,Married,With parents,-16382,-323,1,0,0,0,Accountants,2
5000071,M,Y,Y,0,66643.49,Working,Secondary / secondary special,Married,House / apartment,-13069,-3020,1,0,0,0,Cooking staff,2
5000072,M,N,N,0,46772.64,Working,Lower secondary,Civil marriage,House / apartment,-17196,-610,1,0,0,0,High skill tech staff,2
5000073,F,N,N,0,27000.0,Pensioner,Higher education,Married,Rented apartment,-17281,365243,1,0,0,0,High skill tech staff,2
5000074,F,N,N,0,84814.71,Student,Incomplete higher,Civil marriage,Rented apartment,-12728,-4911,1,0,0,0,Core staff,2
5000075,F,N,N,2,87887.73,Working,Higher education,Separated,House / apartment,-18930,-904,1,0,1,1,Laborers,4
5000076,F,Y,N,0,87715.51,Working,Secondary / secondary special,Married,House / apartment,-15749,-1024,1,0,1,0,High skill tech staff,2
5000077,M,N,N,0,189657.86,Working,Secondary / secondary special,Widow,House / apartment,-15404,-4829,1,0,1,0,Managers,2
5000078,M,N,Y,0,33925.49,Working,Secondary / secondary special,Civil marriage,House / apartment,-16782,-3329,1,0,0,0,Drivers,2
5000079,M,N,N,2,158987.77,Working,Secondary / secondary special,Married,House / apartment,-17288,-4315,1,1,1,0,Core staff,4
5000080,F,N,Y,0,254233.3,Working,Secondary / secondary special,Married,With parents,-15797,-1555,1,0,1,0,Core staff,2
5000081,F,N,Y,0,176643.78,Pensioner,Secondary / secondary special,Married,House / apartment,-18065,365243,1,0,1,0,Laborers,2
5000082,M,Y,N,1,61410.01,Working,Lower secondary,Married,With parents,-21206,-2487,1,0,0,0,Security staff,3
5000083,M,N,N,0,91721.16,Pensioner,Incomplete higher,Married,House / apartment,-14012,365243,1,0,0,0,Sales staff,2
5000084,M,Y,N,0,49731.33,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11255,-1864,1,1,0,0,Drivers,1
5000085,M,N,Y,0,52155.92,Working,Secondary / secondary special,Single / not married,House / apartment,-20315,-2387,1,1,0,1,High skill tech staff,1
5000086,F,Y,Y,0,173105.33,Commercial associate,Secondary / secondary special,Married,House / apartment,-13512,-1447,1,0,0,1,Cooking staff,2
5000087,F,Y,Y,1,103729.27,Working,Incomplete higher,Married,With parents,-19073,-2127,1,0,0,0,High skill tech staff,3
5000088,F,N,Y,0,106935.36,Pensioner,Incomplete higher,Married,Municipal apartment,-21498,365243,1,0,1,0,Sales staff,2
5000089,F,N,N,1,41710.19,Pensioner,Incomplete higher,Married,House / apartment,-19076,365243,1,1,0,1,High skill tech staff,3
5000090,M,N,Y,0,35008.7,Working,Secondary / secondary special,Widow,House / apartment,-15044,-72,1,0,0,1,Accountants,2
5000091,F,N,Y,0,123917.4,Working,Secondary / secondary special,Married,House / apartment,-12925,-4667,1,1,0,0,Sales staff,2
5000092,F,N,Y,0,90294.93,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-21108,-2077,1,0,0,0,High skill tech staff,2
5000093,F,N,N,0,62994.56,Working,Secondary / secondary special,Civil marriage,House / apartment,-18621,-1946,1,1,0,0,Cooking staff,2
5000094,F,N,Y,0,174241.95,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13384,-1951,1,1,0,0,Drivers,2
5000095,F,N,N,1,98385.54,Commercial associate,Higher education,Married,House / apartment,-23022,-2603,1,0,0,1,Private service staff,3
5000096,F,N,Y,3,47808.55,State servant,Secondary / secondary special,Single / not married,House / apartment,-9136,-1753,1,1,0,1,Cleaning staff,4
5000097,M,N,Y,0,27749.16,Working,Secondary / secondary special,Separated,House / apartment,-13288,-3452,1,0,0,1,Accountants,2
5000098,M,N,N,0,98629.03,Working,Secondary / secondary special,Civil marriage,Office apartment,-18536,-1204,1,1,0,0,Core staff,2
5000099,M,Y,Y,0,57832.12,Pensioner,Incomplete higher,Married,Co-op apartment,-13297,365243,1,0,0,0,Private service staff,2
5000100,M,N,Y,2,68226.5,Working,Higher education,Married,House / apartment,-12899,-2490,1,0,0,0,Cleaning staff,4
5000101,F,Y,N,3,65456.46,Working,Secondary / secondary special,Married,House / apartment,-18145,-3135,1,0,0,0,High skill tech staff,5
5000102,M,Y,N,2,149556.47,Working,Secondary / secondary special,Married,House / apartment,-11464,-1303,1,0,1,0,Medicine staff,4
5000103,F,Y,N,0,111457.56,Working,Secondary / secondary special,Married,House / apartment,-16654,-371,1,0,0,0,Cooking staff,2
5000104,F,N,N,3,69694.07,Working,Secondary / secondary special,Single / not married,House / apartment,-11198,-1004,1,0,0,1,High skill tech staff,4
5000105,M,Y,Y,0,68762.1,Commercial associate,Secondary / secondary special,Married,With parents,-14147,-1665,1,0,0,0,Sales staff,2
5000106,M,N,Y,0,84460.59,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16030,-6200,1,0,0,0,Medicine staff,2
5000107,F,N,Y,0,141354.51,Working,Secondary / secondary special,Married,House / apartment,-17386,-3431,1,0,0,0,Managers,2
5000108,M,N,N,2,76227.49,Commercial associate,Higher education,Married,Rented apartment,-10484,-5979,1,0,1,1,Private service staff,4
5000109,M,N,N,2,54868.58,Working,Secondary / secondary special,Married,With parents,-11669,-4640,1,1,0,0,Security staff,4
5000110,M,N,Y,2,40037.12,Pensioner,Secondary / secondary special,Married,House / apartment,-15640,365243,1,0,1,0,Laborers,4
5000111,M,N,Y,2,70065.11,Working,Secondary / secondary special,Civil marriage,House / apartment,-13974,-1045,1,1,0,0,Security staff,4
5000112,F,N,Y,0,40169.1,Commercial associate,Secondary / secondary special,Single / not married,With parents,-21747,-2351,1,1,0,0,Private service staff,1
5000113,F,N,N,2,86744.12,Working,Higher education,Married,House / apartment,-19392,-965,1,0,0,0,Drivers,4
5000114,F,N,Y,0,91721.13,State servant,Secondary / secondary special,Married,House / apartment,-16668,-2469,1,1,1,0,Core staff,2
5000115,F,N,N,0,132637.92,Working,Secondary / secondary special,Single / not married,House / apartment,-13638,-1216,1,1,1,0,Cooking staff,1
5000116,F,Y,N,0,65859.36,Working,Secondary / secondary special,Single / not married,House / apartment,-17477,-446,1,1,0,0,Core staff,1
5000117,M,N,N,3,122537.07,Working,Secondary / secondary special,Married,House / apartment,-19144,-3046,1,1,0,0,Sales staff,5
5000118,F,Y,Y,3,163697.79,Working,Secondary / secondary special,Married,House / apartment,-16419,-290,1,0,1,0,Sales staff,5
5000119,F,Y,N,0,75876.45,Pensioner,Secondary / secondary special,Married,House / apartment,-15124,365243,1,0,0,0,Core staff,2
5000120,F,N,N,0,223595.55,Working,Secondary / secondary special,Married,House / apartment,-19753,-592,1,0,1,0,High skill tech staff,2
5000121,F,N,Y,0,150010.91,Working,Secondary / secondary special,Married,House / apartment,-13626,-1612,1,0,0,0,Cooking staff,2
5000122,M,N,Y,0,57543.65,Working,Secondary / secondary special,Married,House / apartment,-13577,-2252,1,0,0,0,Private service staff,2
5000123,M,N,N,0,318765.14,Working,Lower secondary,Widow,House / apartment,-17412,-303,1,0,0,0,Drivers,2
5000124,M,N,N,0,70696.21,State servant,Secondary / secondary special,Married,House / apartment,-16303,-907,1,0,1,0,Security staff,2
5000125,M,Y,Y,0,147234.96,Working,Secondary / secondary special,Separated,House / apartment,-17320,-2199,1,0,1,0,Core staff,2
5000126,F,N,Y,1,100133.36,Working,Secondary / secondary special,Married,House / apartment,-10473,-1104,1,0,1,0,Security staff,3
5000127,F,Y,Y,0,85109.88,Working,Lower secondary,Civil marriage,House / apartment,-13932,-324,1,1,1,1,Core staff,2
5000128,M,Y,N,1,140704.72,Working,Lower secondary,Single / not married,House / apartment,-16980,-1717,1,1,1,1,Drivers,2
5000129,F,N,N,0,78859.58,Commercial associate,Secondary / secondary special,Married,With parents,-17500,-2305,1,1,0,0,Managers,2
5000130,M,Y,Y,2,70388.85,Student,Higher education,Separated,House / apartment,-20010,-102,1,0,0,0,Cleaning staff,4
5000131,M,Y,Y,1,71460.38,Working,Secondary / secondary special,Single / not married,House / apartment,-16861,-1524,1,0,0,0,Cooking staff,2
5000132,M,N,N,1,41277.91,State servant,Secondary / secondary special,Married,House / apartment,-17953,-1279,1,0,0,0,Laborers,3
5000133,M,Y,N,0,124656.75,Working,Higher education,Married,Co-op apartment,-10076,-18,1,1,0,1,Cleaning staff,2
5000134,F,Y,N,0,52581.92,Commercial associate,Secondary / secondary special,Married,House / apartment,-11787,-1316,1,0,1,0,Core staff,2
5000135,M,Y,N,4,81232.29,Working,Secondary / secondary special,Married,House / apartment,-18853,-1819,1,1,0,0,Sales staff,6
5000136,F,Y,Y,0,73870.91,Pensioner,Higher education,Married,House / apartment,-18039,365243,1,0,1,0,Cleaning staff,2
5000137,F,Y,N,0,99082.19,Commercial associate,Higher education,Married,House / apartment,-9317,-72,1,1,1,0,Medicine staff,2
5000138,M,N,Y,2,72653.37,Pensioner,Secondary / secondary special,Married,House / apartment,-12662,365243,1,1,0,0,Drivers,4
5000139,F,Y,N,0,63947.38,Commercial associate,Secondary / secondary special,Married,House / apartment,-20368,-7425,1,0,1,0,Managers,2
5000140,F,N,N,0,89979.05,Commercial associate,Secondary / secondary special,Married,With parents,-18056,-1133,1,0,0,0,Medicine staff,2
5000141,M,Y,N,0,86204.04,Commercial associate,Secondary / secondary special,Married,With parents,-14391,-600,1,1,1,0,Sales staff,2
5000142,F,N,N,0,43007.38,Commercial associate,Secondary / secondary special,Married,House / apartment,-17019,-1712,1,0,0,0,High skill tech staff,2
5000143,M,N,Y,0,69218.4,Pensioner,Higher education,Civil marriage,With parents,-15719,365243,1,0,0,0,Drivers,2
5000144,M,N,Y,0,137996.33,Commercial associate,Higher education,Single / not married,House / apartment,-13261,-1263,1,0,0,1,Sales staff,1
5000145,M,N,Y,0,249855.16,Working,Secondary / secondary special,Civil marriage,With parents,-12821,-4342,1,0,0,1,Drivers,2
5000146,F,N,N,2,31139.4,Commercial associate,Higher education,Married,House / apartment,-22135,-5155,1,0,0,1,Medicine staff,4
5000147,F,Y,N,3,110621.02,State servant,Incomplete higher,Single / not married,House / apartment,-13008,-2205,1,0,1,0,Cooking staff,4
5000148,M,N,N,1,77102.54,State servant,Secondary / secondary special,Married,House / apartment,-16173,-1782,1,0,0,0,Cooking staff,3
5000149,M,N,N,0,54394.1,Working,Secondary / secondary special,Married,Municipal apartment,-8114,-41,1,0,0,0,Laborers,2
5000150,F,Y,Y,2,59042.18,Working,Higher education,Separated,House / apartment,-25257,-1972,1,0,0,1,Private service staff,4
5000151,M,Y,Y,0,45712.49,State servant,Higher education,Married,Rented apartment,-23363,-1621,1,0,1,0,Private service staff,2
5000152,M,Y,Y,0,37007.43,Working,Secondary / secondary special,Single / not married,House / apartment,-11972,-490,1,0,1,0,Cleaning staff,1
5000153,F,N,N,0,88667.07,Working,Secondary / secondary special,Married,Municipal apartment,-19838,-437,1,1,1,0,Cleaning staff,2
5000154,F,Y,N,2,178372.99,Working,Secondary / secondary special,Married,House / apartment,-20205,-6967,1,0,0,0,Accountants,4
5000155,M,Y,Y,0,87232.26,Working,Secondary / secondary special,Widow,With parents,-13256,-3509,1,0,0,0,Sales staff,2
5000156,F,N,N,3,79680.95,Commercial associate,Higher education,Married,House / apartment,-18194,-543,1,1,0,0,Core staff,5
5000157,F,N,Y,2,53541.54,Working,Lower secondary,Single / not married,House / apartment,-10290,-2512,1,0,0,0,Drivers,3
5000158,M,Y,Y,0,45928.2,Working,Incomplete higher,Separated,House / apartment,-15749,-1514,1,1,0,0,Security staff,2
5000159,F,Y,Y,1,73932.04,Pensioner,Secondary / secondary special,Married,With parents,-17680,365243,1,0,1,0,High skill tech staff,3
5000160,M,N,Y,0,43711.03,Working,Secondary / secondary special,Married,Office apartment,-16440,-446,1,1,0,0,Managers,2
5000161,F,N,N,0,128225.74,State servant,Secondary / secondary special,Single / not married,House / apartment,-16195,-219,1,0,0,0,Laborers,1
5000162,F,N,Y,0,54787.98,Commercial associate,Secondary / secondary special,Married,House / apartment,-13671,-2158,1,0,0,0,Medicine staff,2
5000163,F,N,Y,2,47967.24,Working,Secondary / secondary special,Single / not married,Rented apartment,-16311,-80,1,0,0,0,Sales staff,3
5000164,M,Y,N,2,225333.93,State servant,Incomplete higher,Married,With parents,-17958,-4831,1,0,1,1,Managers,4
5000165,F,Y,N,1,140004.55,Working,Incomplete higher,Single / not married,Municipal apartment,-9948,-6325,1,1,1,0,Laborers,2
5000166,M,N,N,0,40234.39,Working,Secondary / secondary special,Married,With parents,-15390,-1399,1,0,0,0,Cleaning staff,2
5000167,M,N,Y,0,47046.26,State servant,Secondary / secondary special,Married,House / apartment,-18952,-1937,1,0,1,0,Cooking staff,2
5000168,M,N,Y,0,66340.31,Pensioner,Higher education,Married,House / apartment,-25040,365243,1,0,0,0,Managers,2
5000169,F,N,Y,4,67477.65,Commercial associate,Secondary / secondary special,Married,House / apartment,-24857,-964,1,1,0,0,Private service staff,6
5000170,F,N,Y,1,58139.82,Working,Secondary / secondary special,Separated,House / apartment,-13262,-235,1,0,1,0,Drivers,3
5000171,M,Y,N,1,142681.41,Working,Secondary / secondary special,Separated,House / apartment,-17227,-1009,1,0,0,0,Laborers,3
5000172,F,Y,Y,2,81247.61,Working,Higher education,Single / not married,House / apartment,-16901,-1287,1,0,0,0,Cleaning staff,3
5000173,M,Y,Y,1,71792.87,Pensioner,Secondary / secondary special,Married,House / apartment,-7305,365243,1,0,0,0,Private service staff,3
5000174,F,Y,N,1,53958.27,Pensioner,Secondary / secondary special,Married,Rented apartment,-12457,365243,1,1,0,0,Cleaning staff,3
5000175,M,Y,N,0,43225.77,Working,Secondary / secondary special,Single / not married,With parents,-9648,-8391,1,0,0,0,Private service staff,1
5000176,F,N,Y,0,53515.97,Working,Higher education,Married,House / apartment,-14276,-2144,1,0,1,0,High skill tech staff,2
5000177,M,Y,Y,2,47197.39,Working,Secondary / secondary special,Married,Rented apartment,-15702,-1104,1,1,0,1,Managers,4
5000178,F,Y,Y,0,38961.48,State servant,Secondary / secondary special,Married,House / apartment,-13979,-1198,1,0,1,0,Core staff,2
5000179,M,Y,Y,2,125369.64,Commercial associate,Secondary / secondary special,Married,House / apartment,-15046,-2485,1,0,1,0,High skill tech staff,4
5000180,M,N,Y,2,116433.02,Pensioner,Secondary / secondary special,Married,House / apartment,-13134,365243,1,1,0,0,Sales staff,4
5000181,M,N,Y,2,60638.62,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16064,-1642,1,0,0,0,Private service staff,3
5000182,F,N,Y,0,141330.39,Pensioner,Higher education,Married,House / apartment,-15059,365243,1,0,0,0,Private service staff,2
5000183,F,N,Y,0,98237.01,Student,Secondary / secondary special,Married,House / apartment,-11036,-864,1,0,0,1,High skill tech staff,2
5000184,M,N,Y,0,42606.77,Student,Higher education,Married,House / apartment,-25293,-2819,1,0,0,0,Laborers,2
5000185,F,Y,N,2,35278.76,Commercial associate,Secondary / secondary special,Separated,House / apartment,-16653,-213,1,1,0,0,Managers,4
5000186,F,Y,Y,2,85221.29,Working,Secondary / secondary special,Separated,House / apartment,-19016,-257,1,0,1,0,Medicine staff,4
5000187,F,Y,N,0,92781.99,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-12097,365243,1,0,0,0,Sales staff,1
5000188,F,N,Y,0,38316.22,Commercial associate,Higher education,Married,House / apartment,-13624,-21,1,0,0,0,High skill tech staff,2
5000189,M,Y,N,2,56228.34,Pensioner,Secondary / secondary special,Separated,House / apartment,-14185,365243,1,1,0,1,High skill tech staff,4
5000190,M,Y,Y,0,112035.51,Working,Secondary / secondary special,Separated,House / apartment,-20091,-919,1,0,1,1,Cleaning staff,2
5000191,F,N,Y,4,160402.55,Commercial associate,Secondary / secondary special,Married,House / apartment,-12548,-3944,1,1,0,0,Sales staff,6
5000192,F,N,N,0,76282.96,Working,Secondary / secondary special,Married,House / apartment,-13041,-824,1,0,0,0,Laborers,2
5000193,F,N,N,3,75216.75,Working,Secondary / secondary special,Married,House / apartment,-9767,-2248,1,0,0,0,Cooking staff,5
5000194,M,Y,N,0,58364.32,Working,Higher education,Married,House / apartment,-19703,-2703,1,0,0,0,High skill tech staff,2
5000195,M,N,N,0,153831.69,Commercial associate,Secondary / secondary special,Married,House / apartment,-8869,-202,1,1,1,0,Managers,2
5000196,F,N,Y,0,96562.02,Working,Higher education,Married,House / apartment,-7305,-3774,1,1,0,0,Private service staff,2
5000197,F,Y,Y,2,48024.08,Working,Secondary / secondary special,Married,Office apartment,-16907,-8233,1,1,0,0,Cleaning staff,4
5000198,F,N,Y,0,108126.56,Pensioner,Secondary / secondary special,Married,House / apartment,-12018,365243,1,0,1,0,Drivers,2
5000199,F,N,Y,1,51510.11,State servant,Secondary / secondary special,Married,House / apartment,-17625,-656,1,0,0,0,Drivers,3
5000200,F,Y,N,0,45438.14,Pensioner,Secondary / secondary special,Married,House / apartment,-15705,365243,1,0,0,0,Cleaning staff,2
5000201,M,Y,Y,3,58477.46,Working,Lower secondary,Married,House / apartment,-10744,-60,1,1,0,0,Cooking staff,5
5000202,M,N,N,0,47559.59,Working,Secondary / secondary special,Married,House / apartment,-12864,-1756,1,0,0,1,Laborers,2
5000203,F,Y,Y,0,46519.65,Commercial associate,Secondary / secondary special,Married,Rented apartment,-11983,-747,1,0,1,0,Cooking staff,2
5000204,F,N,Y,0,36331.24,Commercial associate,Incomplete higher,Single / not married,Rented apartment,-12337,-2665,1,0,1,0,Accountants,1
5000205,M,Y,Y,1,51568.5,Working,Secondary / secondary special,Married,House / apartment,-9010,-2053,1,1,0,0,Sales staff,3
5000206,M,N,Y,0,56021.3,Working,Secondary / secondary special,Married,House / apartment,-14043,-2168,1,1,1,1,Security staff,2
5000207,F,N,N,0,37209.76,Commercial associate,Secondary / secondary special,Married,Office apartment,-18205,-2754,1,0,1,0,High skill tech staff,2
5000208,M,N,N,2,95805.44,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-24568,-2696,1,0,0,0,High skill tech staff,4
